id,fname,lname,email,division,department,status,employeeType,title,jobCode,manager
22,Kathleen,Hernandez,Kathleen.Hernandez@Training.com,,Marketing,active,,Web Producer,,6
23,Krystle,Loomis,Krystle.Loomis@Training.com,,Sales,active,,Network Technician,,7
24,Jose,Tarlton,Jose.Tarlton@Training.com,,Marketing,active,,Marketing Analyst,,8
25,Jonathan,Flemming,Jonathan.Flemming@Training.com,,IT,active,,Systems Analyst,,9
26,Lenard,Jones,Lenard.Jones@Training.com,,Marketing,active,,HR Coordinator,,10
27,Dorothy,Nixon,Dorothy.Nixon@Training.com,,Sales,active,,Product Development Manager,,11
28,Mitzi,Tran,Mitzi.Tran@Training.com,,Marketing,active,,Technical Program Manager,,12
29,Teri,Rhodes,Teri.Rhodes@Training.com,,Engineering,active,,Supply Chain Analyst,,13
30,Jeffrey,Rogers,Jeffrey.Rogers@Training.com,,Marketing,active,,Content Strategist,,14
31,Fred,Caver,Fred.Caver@Training.com,,Sales,active,,"Technical Writer, Software",,15
32,Adam,Smith,Adam.Smith@Training.com,,Human Resources,active,,Sales Director,,1
33,Eric,Sanders,Eric.Sanders@Training.com,,Marketing,active,,"Product Manager, Software",,2
34,Mark,Coates,Mark.Coates@Training.com,,Sales,active,,"Technical Writer, Software",,3
35,Ruth,Maicus,Ruth.Maicus@Training.com,,Marketing,active,,Technical Support Engineer,,4
36,Jude,Norman,Jude.Norman@Training.com,,Engineering,active,,Business Operations Manager 108,,5
37,Lisa,Stryker,Lisa.Stryker@Training.com,,Marketing,active,,Business Development Manager,,6
38,Pamela,White,Pamela.White@Training.com,,Sales,active,,Logistics Coordinator,,7
39,Catherine,Martin,Catherine.Martin@Training.com,,Marketing,active,,Event Coordinator,,8
40,Jessica,Corns,Jessica.Corns@Training.com,,IT,active,,IT Support Specialist,,9
41,Harry,Huber,Harry.Huber@Training.com,,Marketing,active,,Production Manager,,10
42,Michael,Grubbs,Michael.Grubbs@Training.com,,Sales,active,,Financial Advisor,,11
43,Cheryl,Calderon,Cheryl.Calderon@Training.com,,Marketing,inactive,,Customer Service Manager,,12
44,Patrick,Marc,Patrick.Marc@Training.com,,Engineering,active,,Web Developer,,13
45,Karen,Stapleton,Karen.Stapleton@Training.com,,Marketing,active,,,,14
46,Eugene,Edwards,Eugene.Edwards@Training.com,,Sales,active,,,,15
47,Anita,Urban,Anita.Urban@Training.com,,Accounting,active,,,,17
48,Hazel,Barrios,Hazel.Barrios@Training.com,,Marketing,active,,,,18
49,Theresa,Leventhal,Theresa.Leventhal@Training.com,,Sales,active,,,,19
50,Bethann,Lambert,Bethann.Lambert@Training.com,,Marketing,active,,,,20
51,Sean,Chen,Sean.Chen@Training.com,,Engineering,active,,,,21
52,Zena,Wilson,Zena.Wilson@Training.com,,Marketing,active,,,,22
53,Maura,Wells,Maura.Wells@Training.com,,Sales,inactive,,,,23
54,Norma,Constancio,Norma.Constancio@Training.com,,IT,active,,,,25
55,Emiko,Vandis,Emiko.Vandis@Training.com,,Marketing,active,,,,26
56,Jeffrey,Pinion,Jeffrey.Pinion@Training.com,,Sales,active,,,,27
57,Sandra,Berg,Sandra.Berg@Training.com,,Engineering,active,,,,29
58,James,Dunleavy,James.Dunleavy@Training.com,,Production,active,,,,1
59,Andrew,Allen,Andrew.Allen@Training.com,,Sales,active,,,,3
60,Brian,Millhiser,Brian.Millhiser@Training.com,,Engineering,active,,,,5
61,Richard,Rountree,Richard.Rountree@Training.com,,Marketing,active,,,,6
62,Charmaine,Bennett,Charmaine.Bennett@Training.com,,Sales,active,,,,7
63,Lonnie,Scott,Lonnie.Scott@Training.com,,Marketing,active,,,,8
64,Michael,Scott,Michael.Scott@Training.com,,IT,active,,,,9
65,Murray,Jasso,Murray.Jasso@Training.com,,Marketing,active,,,,10
66,Clarence,Hodge,Clarence.Hodge@Training.com,,Sales,inactive,,,,11
67,Vicki,Myles,Vicki.Myles@Training.com,,Marketing,active,,,,12
68,Ernest,Hayes,Ernest.Hayes@Training.com,,Engineering,active,,,,13
69,Gay,Price,Gay.Price@Training.com,,Marketing,active,,,,14
70,Jeffrey,Hall,Jeffrey.Hall@Training.com,,Sales,active,,,,15
71,Dana,Neumann,Dana.Neumann@Training.com,,Accounting,active,,,,17
72,Thomas,Jesus,Thomas.Jesus@Training.com,,Marketing,active,,,,18
73,Paul,Brooks,Paul.Brooks@Training.com,,Sales,active,,,,19
74,Robert,Jones,Robert.Jones@Training.com,,Marketing,active,,,,20
75,Timothy,Smalls,Timothy.Smalls@Training.com,,Engineering,active,,,,21
76,James,Marshall,James.Marshall@Training.com,,Marketing,active,,,,22
77,Wanda,Davis,Wanda.Davis@Training.com,,Sales,active,,,,23
78,Theresa,Burns,Theresa.Burns@Training.com,,IT,active,,,,25
79,Theresa,Mcclure,Theresa.Mcclure@Training.com,,Marketing,active,,,,26
80,Joe,Cooper,Joe.Cooper@Training.com,,Sales,active,,,,27
81,Rebecca,Ford,Rebecca.Ford@Training.com,,Engineering,active,,,,29
82,Jay,Vaughn,Jay.Vaughn@Training.com,,Human Resources,active,,,,32
83,Mike,Pauly,Mike.Pauly@Training.com,,Marketing,active,,,,33
84,Janice,Roberts,Janice.Roberts@Training.com,,Sales,active,,,,34
85,Nancy,Campbell,Nancy.Campbell@Training.com,,Marketing,active,,,,35
86,Debra,Watson,Debra.Watson@Training.com,,Engineering,active,,,,36
87,Helen,Kreisher,Helen.Kreisher@Training.com,,Marketing,active,,,,37
88,Christopher,Vega,Christopher.Vega@Training.com,,Sales,active,,,,38
89,Brian,Turley,Brian.Turley@Training.com,,IT,active,,,,40
90,Lori,Whiteside,Lori.Whiteside@Training.com,,Marketing,active,,,,41
91,Daniel,Garland,Daniel.Garland@Training.com,,Sales,active,,,,42
92,Chi,Fawver,Chi.Fawver@Training.com,,Engineering,active,,,,44
93,Tony,Cantor,Tony.Cantor@Training.com,,Accounting,active,,,,47
94,Mark,Byrd,Mark.Byrd@Training.com,,Marketing,active,,,,48
95,Elaine,Horton,Elaine.Horton@Training.com,,Sales,active,,,,49
96,Helen,Lindsey,Helen.Lindsey@Training.com,,Engineering,active,,,,51
97,Isiah,Miller,Isiah.Miller@Training.com,,IT,active,,,,54
98,Jack,Bentley,Jack.Bentley@Training.com,,Engineering,active,,,,5
99,Audrey,Macias,Audrey.Macias@Training.com,,Marketing,active,,,,6
100,Michael,Barnes,Michael.Barnes@Training.com,,Sales,active,,,,7
101,Rudy,Mack,Rudy.Mack@Training.com,,Marketing,active,,,,8
102,William,Ferris,William.Ferris@Training.com,,IT,active,,,,9
103,Elaine,Moers,Elaine.Moers@Training.com,,Marketing,active,,,,10
104,Pauline,Grace,Pauline.Grace@Training.com,,Sales,active,,,,11
105,Harry,Sylla,Harry.Sylla@Training.com,,Marketing,active,,,,12
106,Carol,Toborg,Carol.Toborg@Training.com,,Engineering,inactive,,,,13
107,Elizabeth,Jennings,Elizabeth.Jennings@Training.com,,Marketing,active,,,,14
108,John,Garafano,John.Garafano@Training.com,,Sales,active,,,,15
109,George,Hidvegi,George.Hidvegi@Training.com,,Accounting,active,,,,17
110,Elvira,Hidalgo,Elvira.Hidalgo@Training.com,,Marketing,inactive,,,,18
111,Tony,Sumney,Tony.Sumney@Training.com,,Sales,active,,,,19
112,Janae,Jones,Janae.Jones@Training.com,,Marketing,active,,,,20
113,Julia,Little,Julia.Little@Training.com,,Engineering,active,,,,21
114,Jared,Watkins,Jared.Watkins@Training.com,,Marketing,active,,,,22
115,Leslie,Montoya,Leslie.Montoya@Training.com,,Sales,inactive,,,,23
116,Richard,Jarrell,Richard.Jarrell@Training.com,,IT,active,,,,25
117,Allen,Cepeda,Allen.Cepeda@Training.com,,Marketing,active,,,,26
118,James,Roberson,James.Roberson@Training.com,,Sales,active,,,,27
119,Robert,Bautista,Robert.Bautista@Training.com,,Engineering,active,,,,29
120,Issac,Tzeremes,Issac.Tzeremes@Training.com,,Human Resources,active,,,,32
121,Philip,Micciche,Philip.Micciche@Training.com,,Marketing,active,,,,33
122,Elizabeth,Wilson,Elizabeth.Wilson@Training.com,,Sales,active,,,,34
123,Martha,Anderson,Martha.Anderson@Training.com,,Marketing,active,,,,35
124,Donna,Garner,Donna.Garner@Training.com,,Engineering,active,,,,36
125,Naomi,Moore,Naomi.Moore@Training.com,,Marketing,active,,,,37
126,Margaret,Vrba,Margaret.Vrba@Training.com,,Sales,active,,,,38
127,Annette,Stalker,Annette.Stalker@Training.com,,IT,active,,,,40
128,Tomasa,Mendoza,Tomasa.Mendoza@Training.com,,Marketing,active,,,,41
129,Daniel,Daniel,Daniel.Daniel@Training.com,,Sales,active,,,,42
130,Marsha,Moore,Marsha.Moore@Training.com,,Engineering,active,,,,44
131,Gary,Cornett,Gary.Cornett@Training.com,,Accounting,active,,,,47
132,Donna,Ritchey,Donna.Ritchey@Training.com,,Marketing,active,,,,48
133,Valencia,Boyle,Valencia.Boyle@Training.com,,Sales,active,,,,49
134,Sharon,Black,Sharon.Black@Training.com,,Engineering,active,,,,51
135,Arturo,Sortore,Arturo.Sortore@Training.com,,IT,active,,,,54
136,Helen,Tirado,Helen.Tirado@Training.com,,Production,active,,,,58
137,Glenn,Davidson,Glenn.Davidson@Training.com,,Sales,active,,,,59
138,Christopher,Spears,Christopher.Spears@Training.com,,Engineering,active,,,,60
139,Enrique,Lee,Enrique.Lee@Training.com,,Marketing,active,,,,61
140,Virginia,Siever,Virginia.Siever@Training.com,,Sales,inactive,,,,62
141,Nicholas,Lightfoot,Nicholas.Lightfoot@Training.com,,IT,active,,,,64
142,Victor,Snider,Victor.Snider@Training.com,,Marketing,active,,,,65
143,Kevin,Emerson,Kevin.Emerson@Training.com,,Sales,active,,,,66
144,Mattie,Godeaux,Mattie.Godeaux@Training.com,,Engineering,active,,,,68
145,Darlene,Jenkins,Darlene.Jenkins@Training.com,,Accounting,active,,,,71
146,Ryan,Bradley,Ryan.Bradley@Training.com,,Marketing,active,,,,72
147,Tom,Hall,Tom.Hall@Training.com,,Sales,active,,,,73
148,Jimmy,Allen,Jimmy.Allen@Training.com,,Engineering,active,,,,75
149,Melinda,Anderson,Melinda.Anderson@Training.com,,IT,active,,,,78
150,Clifford,Barberio,Clifford.Barberio@Training.com,,Human Resources,active,,,,82
151,Eugene,Cilek,Eugene.Cilek@Training.com,,Marketing,active,,,,83
152,Kay,Smith,Kay.Smith@Training.com,,Sales,active,,,,84
153,Jeffrey,Benninger,Jeffrey.Benninger@Training.com,,Engineering,active,,,,86
154,Henry,Smith,Henry.Smith@Training.com,,IT,active,,,,89
155,Gloria,Hale,Gloria.Hale@Training.com,,Accounting,active,,,,93
156,Earl,Rolle,Earl.Rolle@Training.com,,Engineering,active,,,,5
157,Agnes,Funk,Agnes.Funk@Training.com,,Marketing,active,,,,6
158,Tamara,Johnson,Tamara.Johnson@Training.com,,Sales,active,,,,7
159,Stephen,Castleman,Stephen.Castleman@Training.com,,Sales,active,,,,11
160,Alpha,Mandeville,Alpha.Mandeville@Training.com,,Engineering,active,,,,13
161,Mary,Burnham,Mary.Burnham@Training.com,,Sales,active,,,,15
162,James,Russo,James.Russo@Training.com,,Accounting,active,,,,17
163,Eddie,Pemberton,Eddie.Pemberton@Training.com,,Marketing,active,,,,18
164,Ronald,Robinson,Ronald.Robinson@Training.com,,Sales,active,,,,19
165,Mary,Speer,Mary.Speer@Training.com,,Marketing,active,,,,20
166,Joyce,Price,Joyce.Price@Training.com,,Engineering,active,,,,21
167,Bryan,Robertson,Bryan.Robertson@Training.com,,Marketing,active,,,,22
168,Darron,Presswood,Darron.Presswood@Training.com,,Sales,active,,,,23
169,Wayne,Siciliano,Wayne.Siciliano@Training.com,,IT,active,,,,25
170,Frank,Larsen,Frank.Larsen@Training.com,,Marketing,active,,,,26
171,Edward,Hoover,Edward.Hoover@Training.com,,Sales,active,,,,27
172,Richard,Michael,Richard.Michael@Training.com,,Engineering,active,,,,29
173,Donald,Richardson,Donald.Richardson@Training.com,,Human Resources,active,,,,32
174,Samantha,Lunt,Samantha.Lunt@Training.com,,Marketing,active,,,,33
175,Irvin,Jenkins,Irvin.Jenkins@Training.com,,Sales,active,,,,34
176,Peter,Nails,Peter.Nails@Training.com,,Marketing,active,,,,35
177,Terence,Chapman,Terence.Chapman@Training.com,,Engineering,active,,,,36
178,Estella,Partee,Estella.Partee@Training.com,,Marketing,active,,,,37
179,Michael,Schroth,Michael.Schroth@Training.com,,Sales,active,,,,38
180,Jaqueline,Vonholt,Jaqueline.Vonholt@Training.com,,IT,active,,,,40
181,Robert,Lee,Robert.Lee@Training.com,,Marketing,active,,,,41
182,Louise,Arana,Louise.Arana@Training.com,,Sales,active,,,,42
183,Louise,Mohseni,Louise.Mohseni@Training.com,,Engineering,active,,,,44
184,Joel,Snyder,Joel.Snyder@Training.com,,Accounting,active,,,,47
185,Connie,Peterson,Connie.Peterson@Training.com,,Marketing,active,,,,48
186,Mattie,Gomez,Mattie.Gomez@Training.com,,Sales,active,,,,49
187,Tamara,Kassin,Tamara.Kassin@Training.com,,Engineering,active,,,,51
188,Evelyn,Dodd,Evelyn.Dodd@Training.com,,IT,active,,,,54
189,Charlie,Linder,Charlie.Linder@Training.com,,Production,active,,,,58
190,Chris,Eld,Chris.Eld@Training.com,,Sales,active,,,,59
191,Ralph,Smith,Ralph.Smith@Training.com,,Engineering,active,,,,60
192,Helen,Kelley,Helen.Kelley@Training.com,,Marketing,active,,,,61
193,Bernard,Chase,Bernard.Chase@Training.com,,Sales,active,,,,62
194,Danica,White,Danica.White@Training.com,,IT,active,,,,64
195,Ann,Alfano,Ann.Alfano@Training.com,,Marketing,active,,,,65
196,Willie,Ivey,Willie.Ivey@Training.com,,Sales,active,,,,66
197,Robert,Ragland,Robert.Ragland@Training.com,,Engineering,active,,,,68
198,Jose,Barrett,Jose.Barrett@Training.com,,Accounting,active,,,,71
199,Richard,Kraus,Richard.Kraus@Training.com,,Marketing,active,,,,72
200,James,James,James.James@Training.com,,Sales,active,,,,73
201,Terry,Eccles,Terry.Eccles@Training.com,,Engineering,active,,,,75
202,Emma,Moroni,Emma.Moroni@Training.com,,IT,active,,,,78
203,Frances,Mcglone,Frances.Mcglone@Training.com,,Human Resources,active,,,,82
204,Edwin,Graham,Edwin.Graham@Training.com,,Marketing,active,,,,83
205,Frank,Barnes,Frank.Barnes@Training.com,,Sales,active,,,,84
206,Gabriel,Hassler,Gabriel.Hassler@Training.com,,Engineering,active,,,,86
207,Bonnie,Williams,Bonnie.Williams@Training.com,,IT,active,,,,89
208,Larry,Christmas,Larry.Christmas@Training.com,,Accounting,active,,,,93
209,Leslie,Baggett,Leslie.Baggett@Training.com,,Engineering,active,,,,98
210,David,Flowers,David.Flowers@Training.com,,Marketing,active,,,,99
211,Beth,Hawkins,Beth.Hawkins@Training.com,,Sales,active,,,,100
212,Nikia,Turnbull,Nikia.Turnbull@Training.com,,IT,active,,,,102
213,Jessica,Muniz,Jessica.Muniz@Training.com,,Marketing,active,,,,103
214,Bruce,Silas,Bruce.Silas@Training.com,,Sales,active,,,,104
215,Norman,Page,Norman.Page@Training.com,,Engineering,active,,,,106
216,Kenneth,Rasmussen,Kenneth.Rasmussen@Training.com,,Accounting,active,,,,109
217,Charlotte,Marini,Charlotte.Marini@Training.com,,Marketing,active,,,,110
218,Verna,Nugent,Verna.Nugent@Training.com,,Sales,active,,,,111
219,Julia,Williams,Julia.Williams@Training.com,,Engineering,active,,,,113
220,Mariana,Mckinney,Mariana.Mckinney@Training.com,,IT,active,,,,116
221,Roberta,Garneau,Roberta.Garneau@Training.com,,Human Resources,active,,,,120
222,Zachary,Porter,Zachary.Porter@Training.com,,Marketing,active,,,,121
223,Donna,White,Donna.White@Training.com,,Sales,active,,,,122
224,Cecil,White,Cecil.White@Training.com,,Engineering,active,,,,124
225,Eileen,Raney,Eileen.Raney@Training.com,,IT,active,,,,127
226,Barbara,Paine,Barbara.Paine@Training.com,,Accounting,active,,,,131
227,Annie,Slivka,Annie.Slivka@Training.com,,Production,active,,,,136
228,Martha,Rosenfield,Martha.Rosenfield@Training.com,,Sales,active,,,,137
229,Aurora,Ortiz,Aurora.Ortiz@Training.com,,Engineering,active,,,,138
230,Lorraine,Leggio,Lorraine.Leggio@Training.com,,IT,active,,,,141
231,Manuel,Garcia,Manuel.Garcia@Training.com,,Accounting,active,,,,145
232,Terry,Garcia,Terry.Garcia@Training.com,,Human Resources,active,,,,150
233,Maurice,Nolen,Maurice.Nolen@Training.com,,Sales,active,,,,11
234,Maribel,Marble,Maribel.Marble@Training.com,,Engineering,active,,,,13
235,Michael,Donaldson,Michael.Donaldson@Training.com,,Marketing,active,,,,18
236,Elizabeth,Garis,Elizabeth.Garis@Training.com,,Sales,active,,,,19
237,Matthew,Kupchinsky,Matthew.Kupchinsky@Training.com,,Marketing,active,,,,20
238,Herman,Douglas,Herman.Douglas@Training.com,,Engineering,inactive,,,,21
239,Preston,Solomon,Preston.Solomon@Training.com,,Marketing,active,,,,22
240,Ruth,Vargas,Ruth.Vargas@Training.com,,Sales,active,,,,23
241,Sherri,Prue,Sherri.Prue@Training.com,,Engineering,active,,,,29
242,Lola,Schreckengost,Lola.Schreckengost@Training.com,,Human Resources,active,,,,32
243,Ashley,Harris,Ashley.Harris@Training.com,,Marketing,active,,,,33
244,Richard,Klipfel,Richard.Klipfel@Training.com,,Sales,active,,,,34
245,Derek,Jefcoat,Derek.Jefcoat@Training.com,,Marketing,active,,,,35
246,Shirley,Allen,Shirley.Allen@Training.com,,Engineering,active,,,,36
247,Gerald,Park,Gerald.Park@Training.com,,Marketing,active,,,,37
248,Charlie,Emrick,Charlie.Emrick@Training.com,,Sales,active,,,,38
249,Robert,Taylor,Robert.Taylor@Training.com,,IT,active,,,,40
250,Lana,Cole,Lana.Cole@Training.com,,Marketing,active,,,,41
251,Earl,Miller,Earl.Miller@Training.com,,Sales,active,,,,42
252,Earl,Prater,Earl.Prater@Training.com,,Engineering,active,,,,44
253,Walter,Finley,Walter.Finley@Training.com,,Accounting,active,,,,47
254,Eddie,Naish,Eddie.Naish@Training.com,,Marketing,active,,,,48
255,Patrick,Berg,Patrick.Berg@Training.com,,Sales,active,,,,49
256,Jerome,Williams,Jerome.Williams@Training.com,,Engineering,active,,,,51
257,Doris,Elgin,Doris.Elgin@Training.com,,IT,active,,,,54
258,Matthew,Gonzales,Matthew.Gonzales@Training.com,,Production,active,,,,58
259,Roy,Nguyen,Roy.Nguyen@Training.com,,Sales,active,,,,59
260,Barbara,Beidleman,Barbara.Beidleman@Training.com,,Engineering,active,,,,60
261,Kenneth,Feldman,Kenneth.Feldman@Training.com,,Marketing,inactive,,,,61
262,Robert,Stafford,Robert.Stafford@Training.com,,Sales,active,,,,62
263,Lloyd,Vandam,Lloyd.Vandam@Training.com,,IT,active,,,,64
264,Joshua,Kimbrough,Joshua.Kimbrough@Training.com,,Marketing,active,,,,65
265,Mary,Schwartz,Mary.Schwartz@Training.com,,Sales,active,,,,66
266,Steven,Williams,Steven.Williams@Training.com,,Engineering,active,,,,68
267,Bonnie,Jones,Bonnie.Jones@Training.com,,Accounting,active,,,,71
268,Tommie,Sayer,Tommie.Sayer@Training.com,,Marketing,active,,,,72
269,Dorothy,Jordan,Dorothy.Jordan@Training.com,,Sales,active,,,,73
270,Tara,Pinegar,Tara.Pinegar@Training.com,,Engineering,active,,,,75
271,Desire,Lowe,Desire.Lowe@Training.com,,IT,active,,,,78
272,Jim,Barnes,Jim.Barnes@Training.com,,Human Resources,active,,,,82
273,Leticia,Corona,Leticia.Corona@Training.com,,Marketing,active,,,,83
274,Wendy,Norris,Wendy.Norris@Training.com,,Sales,active,,,,84
275,Hilary,Akers,Hilary.Akers@Training.com,,Engineering,active,,,,86
276,Jon,Pereda,Jon.Pereda@Training.com,,IT,active,,,,89
277,Joseph,Apodaca,Joseph.Apodaca@Training.com,,Accounting,active,,,,93
278,Jaime,Rothschild,Jaime.Rothschild@Training.com,,Engineering,active,,,,98
279,Rita,Turner,Rita.Turner@Training.com,,Marketing,active,,,,99
280,John,Brown,John.Brown@Training.com,,Sales,active,,,,100
281,Emelia,Simpson,Emelia.Simpson@Training.com,,IT,active,,,,102
282,Ingrid,Nelson,Ingrid.Nelson@Training.com,,Marketing,active,,,,103
283,Christine,Silva,Christine.Silva@Training.com,,Sales,active,,,,104
284,Lang,Trosper,Lang.Trosper@Training.com,,Engineering,active,,,,106
285,Keith,Sumpter,Keith.Sumpter@Training.com,,Accounting,active,,,,109
286,Gregory,Blackmon,Gregory.Blackmon@Training.com,,Marketing,active,,,,110
287,Carl,Diaz,Carl.Diaz@Training.com,,Sales,active,,,,111
288,Lorraine,Fairbanks,Lorraine.Fairbanks@Training.com,,Engineering,active,,,,113
289,George,Davis,George.Davis@Training.com,,IT,active,,,,116
290,Dean,Hayes,Dean.Hayes@Training.com,,Human Resources,active,,,,120
291,Carla,Racine,Carla.Racine@Training.com,,Marketing,active,,,,121
292,Paul,Cline,Paul.Cline@Training.com,,Sales,active,,,,122
293,Jimmy,Gent,Jimmy.Gent@Training.com,,Engineering,active,,,,124
294,Jo,Ralston,Jo.Ralston@Training.com,,IT,active,,,,127
295,Holly,Borrego,Holly.Borrego@Training.com,,Accounting,active,,,,131
296,Thomas,Millette,Thomas.Millette@Training.com,,Production,active,,,,136
297,Robert,Kropf,Robert.Kropf@Training.com,,Sales,active,,,,137
298,Derek,Hartry,Derek.Hartry@Training.com,,Engineering,active,,,,138
299,Carl,Carter,Carl.Carter@Training.com,,IT,active,,,,141
300,Brittany,Held,Brittany.Held@Training.com,,Accounting,active,,,,145
301,Michael,Nystrom,Michael.Nystrom@Training.com,,Human Resources,active,,,,150
302,Charlene,Kafer,Charlene.Kafer@Training.com,,Engineering,active,,,,156
303,John,Logan,John.Logan@Training.com,,Marketing,active,,,,157
304,Kenneth,Mitchell,Kenneth.Mitchell@Training.com,,Sales,active,,,,158
305,Daniel,Shively,Daniel.Shively@Training.com,,Sales,active,,,,159
306,John,Trotman,John.Trotman@Training.com,,Engineering,active,,,,160
307,Latonya,Mcatee,Latonya.Mcatee@Training.com,,Accounting,active,,,,162
308,Robert,Hall,Robert.Hall@Training.com,,Marketing,active,,,,163
309,Helen,Diaz,Helen.Diaz@Training.com,,Sales,active,,,,164
310,Alfred,Decker,Alfred.Decker@Training.com,,Engineering,active,,,,166
311,Francis,Richardson,Francis.Richardson@Training.com,,IT,active,,,,169
312,Josie,Edmund,Josie.Edmund@Training.com,,Human Resources,active,,,,173
313,Starla,Pride,Starla.Pride@Training.com,,Marketing,active,,,,174
314,Melanie,Flanagan,Melanie.Flanagan@Training.com,,Sales,active,,,,175
315,David,Gilmore,David.Gilmore@Training.com,,Engineering,active,,,,177
316,Jamie,Darring,Jamie.Darring@Training.com,,IT,active,,,,180
317,Caroline,Fox,Caroline.Fox@Training.com,,Accounting,active,,,,184
318,Janet,Madlung,Janet.Madlung@Training.com,,Production,active,,,,189
319,Matthew,Merritt,Matthew.Merritt@Training.com,,Sales,active,,,,190
320,Yolanda,Romine,Yolanda.Romine@Training.com,,Engineering,active,,,,191
321,Dorothy,Tunis,Dorothy.Tunis@Training.com,,IT,active,,,,194
322,Vicki,Coombe,Vicki.Coombe@Training.com,,Accounting,active,,,,198
323,Mark,Roberson,Mark.Roberson@Training.com,,Human Resources,active,,,,203
324,Richard,Boltz,Richard.Boltz@Training.com,,Engineering,active,,,,209
325,Edwin,Garis,Edwin.Garis@Training.com,,IT,active,,,,212
326,Lee,Upham,Lee.Upham@Training.com,,Accounting,active,,,,216
327,Thelma,Hanson,Thelma.Hanson@Training.com,,Human Resources,active,,,,221
328,Gilbert,Mayberry,Gilbert.Mayberry@Training.com,,Production,active,,,,227
329,Alfonso,Burgess,Alfonso.Burgess@Training.com,,Marketing,active,,,,20
330,Jason,Lyvers,Jason.Lyvers@Training.com,,Engineering,active,,,,21
331,Steven,Bedeau,Steven.Bedeau@Training.com,,Marketing,active,,,,22
332,Linda,Smith,Linda.Smith@Training.com,,Engineering,active,,,,29
333,Bruce,Terrance,Bruce.Terrance@Training.com,,Human Resources,active,,,,32
334,Margaret,Estrada,Margaret.Estrada@Training.com,,Marketing,active,,,,33
335,Mary,Martinez,Mary.Martinez@Training.com,,Sales,active,,,,34
336,Norman,King,Norman.King@Training.com,,Marketing,inactive,,,,35
337,Patricia,Bennett,Patricia.Bennett@Training.com,,Marketing,active,,,,37
338,John,Rose,John.Rose@Training.com,,IT,active,,,,40
339,Kevin,Buchanan,Kevin.Buchanan@Training.com,,Marketing,active,,,,41
340,Harry,Cadena,Harry.Cadena@Training.com,,Accounting,active,,,,47
341,Julius,Glass,Julius.Glass@Training.com,,Marketing,active,,,,48
342,Ann,Erickson,Ann.Erickson@Training.com,,Sales,active,,,,49
343,Beth,Cressman,Beth.Cressman@Training.com,,IT,active,,,,54
344,Myles,Melton,Myles.Melton@Training.com,,Production,active,,,,58
345,Matthew,Brown,Matthew.Brown@Training.com,,Sales,active,,,,59
346,Brian,Hooper,Brian.Hooper@Training.com,,Engineering,active,,,,60
347,Mariko,Basham,Mariko.Basham@Training.com,,Marketing,active,,,,61
348,Cynthia,Paris,Cynthia.Paris@Training.com,,Sales,active,,,,62
349,Jeannine,Johnson,Jeannine.Johnson@Training.com,,IT,active,,,,64
350,Amber,Hernandez,Amber.Hernandez@Training.com,,Marketing,active,,,,65
351,Timothy,Fields,Timothy.Fields@Training.com,,Sales,active,,,,66
352,Hilda,Arnold,Hilda.Arnold@Training.com,,Engineering,inactive,,,,68
353,Judy,Wilson,Judy.Wilson@Training.com,,Accounting,active,,,,71
354,Linda,Church,Linda.Church@Training.com,,Marketing,active,,,,72
355,Kathy,Dorsett,Kathy.Dorsett@Training.com,,Sales,active,,,,73
