Unnamed: 0,id,fname,lname,email,division,department,status,employeeType,title,jobCode,manager,managerIdChain,depth,missingReports
36,37,Lisa,Stryker,Lisa.Stryker@Training.com,,Marketing,active,,,,6,",1,,2,,6,",4,0
37,38,Pamela,White,Pamela.White@Training.com,,Sales,active,,,,7,",1,,3,,7,",4,0
38,39,Catherine,Martin,Catherine.Martin@Training.com,,Marketing,active,,,,8,",1,,2,,4,,8,",5,5
39,40,Jessica,Corns,Jessica.Corns@Training.com,,IT,active,,,,9,",1,,9,",3,0
40,41,Harry,Huber,Harry.Huber@Training.com,,Marketing,active,,,,10,",1,,2,,10,",4,0
41,42,Michael,Grubbs,Michael.Grubbs@Training.com,,Sales,active,,,,11,",1,,3,,11,",4,0
42,43,Cheryl,Calderon,Cheryl.Calderon@Training.com,,Marketing,inactive,,,,12,",1,,2,,4,,12,",5,4
43,44,Patrick,Marc,Patrick.Marc@Training.com,,Engineering,active,,,,13,",1,,5,,13,",4,0
44,45,Karen,Stapleton,Karen.Stapleton@Training.com,,Marketing,active,,,,14,",1,,2,,6,,14,",5,4
45,46,Eugene,Edwards,Eugene.Edwards@Training.com,,Sales,active,,,,15,",1,,3,,7,,15,",5,6
46,47,Anita,Urban,Anita.Urban@Training.com,,Accounting,active,,,,17,",1,,17,",3,0
47,48,Hazel,Barrios,Hazel.Barrios@Training.com,,Marketing,active,,,,18,",1,,2,,18,",4,0
48,49,Theresa,Leventhal,Theresa.Leventhal@Training.com,,Sales,active,,,,19,",1,,3,,19,",4,0
49,50,Bethann,Lambert,Bethann.Lambert@Training.com,,Marketing,active,,,,20,",1,,2,,4,,20,",5,4
50,51,Sean,Chen,Sean.Chen@Training.com,,Engineering,active,,,,21,",1,,5,,21,",4,0
51,52,Zena,Wilson,Zena.Wilson@Training.com,,Marketing,active,,,,22,",1,,2,,6,,22,",5,5
52,53,Maura,Wells,Maura.Wells@Training.com,,Sales,inactive,,,,23,",1,,3,,7,,23,",5,4
53,54,Norma,Constancio,Norma.Constancio@Training.com,,IT,active,,,,25,",1,,9,,25,",4,0
54,55,Emiko,Vandis,Emiko.Vandis@Training.com,,Marketing,active,,,,26,",1,,2,,10,,26,",5,6
55,56,Jeffrey,Pinion,Jeffrey.Pinion@Training.com,,Sales,active,,,,27,",1,,3,,11,,27,",5,4
56,57,Sandra,Berg,Sandra.Berg@Training.com,,Engineering,active,,,,29,",1,,5,,13,,29,",5,4
57,58,James,Dunleavy,James.Dunleavy@Training.com,,Production,active,,,,1,",1,",2,0
58,59,Andrew,Allen,Andrew.Allen@Training.com,,Sales,active,,,,3,",1,,3,",3,0
59,60,Brian,Millhiser,Brian.Millhiser@Training.com,,Engineering,active,,,,5,",1,,5,",3,0
60,61,Richard,Rountree,Richard.Rountree@Training.com,,Marketing,active,,,,6,",1,,2,,6,",4,0
61,62,Charmaine,Bennett,Charmaine.Bennett@Training.com,,Sales,active,,,,7,",1,,3,,7,",4,0
62,63,Lonnie,Scott,Lonnie.Scott@Training.com,,Marketing,active,,,,8,",1,,2,,4,,8,",5,6
63,64,Michael,Scott,Michael.Scott@Training.com,,IT,active,,,,9,",1,,9,",3,0
64,65,Murray,Jasso,Murray.Jasso@Training.com,,Marketing,active,,,,10,",1,,2,,10,",4,0
65,66,Clarence,Hodge,Clarence.Hodge@Training.com,,Sales,inactive,,,,11,",1,,3,,11,",4,0
66,67,Vicki,Myles,Vicki.Myles@Training.com,,Marketing,active,,,,12,",1,,2,,4,,12,",5,4
67,68,Ernest,Hayes,Ernest.Hayes@Training.com,,Engineering,active,,,,13,",1,,5,,13,",4,0
68,69,Gay,Price,Gay.Price@Training.com,,Marketing,active,,,,14,",1,,2,,6,,14,",5,4
69,70,Jeffrey,Hall,Jeffrey.Hall@Training.com,,Sales,active,,,,15,",1,,3,,7,,15,",5,5
70,71,Dana,Neumann,Dana.Neumann@Training.com,,Accounting,active,,,,17,",1,,17,",3,0
71,72,Thomas,Jesus,Thomas.Jesus@Training.com,,Marketing,active,,,,18,",1,,2,,18,",4,0
72,73,Paul,Brooks,Paul.Brooks@Training.com,,Sales,active,,,,19,",1,,3,,19,",4,0
73,74,Robert,Jones,Robert.Jones@Training.com,,Marketing,active,,,,20,",1,,2,,4,,20,",5,4
74,75,Timothy,Smalls,Timothy.Smalls@Training.com,,Engineering,active,,,,21,",1,,5,,21,",4,0
75,76,James,Marshall,James.Marshall@Training.com,,Marketing,active,,,,22,",1,,2,,6,,22,",5,6
76,77,Wanda,Davis,Wanda.Davis@Training.com,,Sales,active,,,,23,",1,,3,,7,,23,",5,5
77,78,Theresa,Burns,Theresa.Burns@Training.com,,IT,active,,,,25,",1,,9,,25,",4,0
78,79,Theresa,Mcclure,Theresa.Mcclure@Training.com,,Marketing,active,,,,26,",1,,2,,10,,26,",5,5
79,80,Joe,Cooper,Joe.Cooper@Training.com,,Sales,active,,,,27,",1,,3,,11,,27,",5,6
80,81,Rebecca,Ford,Rebecca.Ford@Training.com,,Engineering,active,,,,29,",1,,5,,13,,29,",5,6
81,82,Jay,Vaughn,Jay.Vaughn@Training.com,,Human Resources,active,,,,32,",1,,32,",3,0
82,83,Mike,Pauly,Mike.Pauly@Training.com,,Marketing,active,,,,33,",1,,2,,33,",4,0
83,84,Janice,Roberts,Janice.Roberts@Training.com,,Sales,active,,,,34,",1,,3,,34,",4,0
84,85,Nancy,Campbell,Nancy.Campbell@Training.com,,Marketing,active,,,,35,",1,,2,,4,,35,",5,5
85,86,Debra,Watson,Debra.Watson@Training.com,,Engineering,active,,,,36,",1,,5,,36,",4,0
86,87,Helen,Kreisher,Helen.Kreisher@Training.com,,Marketing,active,,,,37,",1,,2,,6,,37,",5,6
87,88,Christopher,Vega,Christopher.Vega@Training.com,,Sales,active,,,,38,",1,,3,,7,,38,",5,4
88,89,Brian,Turley,Brian.Turley@Training.com,,IT,active,,,,40,",1,,9,,40,",4,0
89,90,Lori,Whiteside,Lori.Whiteside@Training.com,,Marketing,active,,,,41,",1,,2,,10,,41,",5,6
90,91,Daniel,Garland,Daniel.Garland@Training.com,,Sales,active,,,,42,",1,,3,,11,,42,",5,6
91,92,Chi,Fawver,Chi.Fawver@Training.com,,Engineering,active,,,,44,",1,,5,,13,,44,",5,5
92,93,Tony,Cantor,Tony.Cantor@Training.com,,Accounting,active,,,,47,",1,,17,,47,",4,0
93,94,Mark,Byrd,Mark.Byrd@Training.com,,Marketing,active,,,,48,",1,,2,,18,,48,",5,5
94,95,Elaine,Horton,Elaine.Horton@Training.com,,Sales,active,,,,49,",1,,3,,19,,49,",5,4
95,96,Helen,Lindsey,Helen.Lindsey@Training.com,,Engineering,active,,,,51,",1,,5,,21,,51,",5,4
96,97,Isiah,Miller,Isiah.Miller@Training.com,,IT,active,,,,54,",1,,9,,25,,54,",5,6
97,98,Jack,Bentley,Jack.Bentley@Training.com,,Engineering,active,,,,5,",1,,5,",3,0
98,99,Audrey,Macias,Audrey.Macias@Training.com,,Marketing,active,,,,6,",1,,2,,6,",4,0
99,100,Michael,Barnes,Michael.Barnes@Training.com,,Sales,active,,,,7,",1,,3,,7,",4,0
100,101,Rudy,Mack,Rudy.Mack@Training.com,,Marketing,active,,,,8,",1,,2,,4,,8,",5,6
101,102,William,Ferris,William.Ferris@Training.com,,IT,active,,,,9,",1,,9,",3,0
102,103,Elaine,Moers,Elaine.Moers@Training.com,,Marketing,active,,,,10,",1,,2,,10,",4,0
103,104,Pauline,Grace,Pauline.Grace@Training.com,,Sales,active,,,,11,",1,,3,,11,",4,0
104,105,Harry,Sylla,Harry.Sylla@Training.com,,Marketing,active,,,,12,",1,,2,,4,,12,",5,5
105,106,Carol,Toborg,Carol.Toborg@Training.com,,Engineering,inactive,,,,13,",1,,5,,13,",4,0
106,107,Elizabeth,Jennings,Elizabeth.Jennings@Training.com,,Marketing,active,,,,14,",1,,2,,6,,14,",5,4
107,108,John,Garafano,John.Garafano@Training.com,,Sales,active,,,,15,",1,,3,,7,,15,",5,4
108,109,George,Hidvegi,George.Hidvegi@Training.com,,Accounting,active,,,,17,",1,,17,",3,0
109,110,Elvira,Hidalgo,Elvira.Hidalgo@Training.com,,Marketing,inactive,,,,18,",1,,2,,18,",4,0
110,111,Tony,Sumney,Tony.Sumney@Training.com,,Sales,active,,,,19,",1,,3,,19,",4,0
111,112,Janae,Jones,Janae.Jones@Training.com,,Marketing,active,,,,20,",1,,2,,4,,20,",5,5
112,113,Julia,Little,Julia.Little@Training.com,,Engineering,active,,,,21,",1,,5,,21,",4,0
113,114,Jared,Watkins,Jared.Watkins@Training.com,,Marketing,active,,,,22,",1,,2,,6,,22,",5,5
114,115,Leslie,Montoya,Leslie.Montoya@Training.com,,Sales,inactive,,,,23,",1,,3,,7,,23,",5,6
115,116,Richard,Jarrell,Richard.Jarrell@Training.com,,IT,active,,,,25,",1,,9,,25,",4,0
116,117,Allen,Cepeda,Allen.Cepeda@Training.com,,Marketing,active,,,,26,",1,,2,,10,,26,",5,4
117,118,James,Roberson,James.Roberson@Training.com,,Sales,active,,,,27,",1,,3,,11,,27,",5,5
118,119,Robert,Bautista,Robert.Bautista@Training.com,,Engineering,active,,,,29,",1,,5,,13,,29,",5,6
119,120,Issac,Tzeremes,Issac.Tzeremes@Training.com,,Human Resources,active,,,,32,",1,,32,",3,0
120,121,Philip,Micciche,Philip.Micciche@Training.com,,Marketing,active,,,,33,",1,,2,,33,",4,0
121,122,Elizabeth,Wilson,Elizabeth.Wilson@Training.com,,Sales,active,,,,34,",1,,3,,34,",4,0
122,123,Martha,Anderson,Martha.Anderson@Training.com,,Marketing,active,,,,35,",1,,2,,4,,35,",5,5
123,124,Donna,Garner,Donna.Garner@Training.com,,Engineering,active,,,,36,",1,,5,,36,",4,0
124,125,Naomi,Moore,Naomi.Moore@Training.com,,Marketing,active,,,,37,",1,,2,,6,,37,",5,4
125,126,Margaret,Vrba,Margaret.Vrba@Training.com,,Sales,active,,,,38,",1,,3,,7,,38,",5,4
126,127,Annette,Stalker,Annette.Stalker@Training.com,,IT,active,,,,40,",1,,9,,40,",4,0
127,128,Tomasa,Mendoza,Tomasa.Mendoza@Training.com,,Marketing,active,,,,41,",1,,2,,10,,41,",5,4
128,129,Daniel,Daniel,Daniel.Daniel@Training.com,,Sales,active,,,,42,",1,,3,,11,,42,",5,5
129,130,Marsha,Moore,Marsha.Moore@Training.com,,Engineering,active,,,,44,",1,,5,,13,,44,",5,5
130,131,Gary,Cornett,Gary.Cornett@Training.com,,Accounting,active,,,,47,",1,,17,,47,",4,0
131,132,Donna,Ritchey,Donna.Ritchey@Training.com,,Marketing,active,,,,48,",1,,2,,18,,48,",5,4
132,133,Valencia,Boyle,Valencia.Boyle@Training.com,,Sales,active,,,,49,",1,,3,,19,,49,",5,4
133,134,Sharon,Black,Sharon.Black@Training.com,,Engineering,active,,,,51,",1,,5,,21,,51,",5,5
134,135,Arturo,Sortore,Arturo.Sortore@Training.com,,IT,active,,,,54,",1,,9,,25,,54,",5,6
135,136,Helen,Tirado,Helen.Tirado@Training.com,,Production,active,,,,58,",1,,58,",3,0
136,137,Glenn,Davidson,Glenn.Davidson@Training.com,,Sales,active,,,,59,",1,,3,,59,",4,0
137,138,Christopher,Spears,Christopher.Spears@Training.com,,Engineering,active,,,,60,",1,,5,,60,",4,0
138,139,Enrique,Lee,Enrique.Lee@Training.com,,Marketing,active,,,,61,",1,,2,,6,,61,",5,6
139,140,Virginia,Siever,Virginia.Siever@Training.com,,Sales,inactive,,,,62,",1,,3,,7,,62,",5,5
140,141,Nicholas,Lightfoot,Nicholas.Lightfoot@Training.com,,IT,active,,,,64,",1,,9,,64,",4,0
141,142,Victor,Snider,Victor.Snider@Training.com,,Marketing,active,,,,65,",1,,2,,10,,65,",5,5
142,143,Kevin,Emerson,Kevin.Emerson@Training.com,,Sales,active,,,,66,",1,,3,,11,,66,",5,6
143,144,Mattie,Godeaux,Mattie.Godeaux@Training.com,,Engineering,active,,,,68,",1,,5,,13,,68,",5,4
144,145,Darlene,Jenkins,Darlene.Jenkins@Training.com,,Accounting,active,,,,71,",1,,17,,71,",4,0
145,146,Ryan,Bradley,Ryan.Bradley@Training.com,,Marketing,active,,,,72,",1,,2,,18,,72,",5,4
146,147,Tom,Hall,Tom.Hall@Training.com,,Sales,active,,,,73,",1,,3,,19,,73,",5,4
147,148,Jimmy,Allen,Jimmy.Allen@Training.com,,Engineering,active,,,,75,",1,,5,,21,,75,",5,4
148,149,Melinda,Anderson,Melinda.Anderson@Training.com,,IT,active,,,,78,",1,,9,,25,,78,",5,4
149,150,Clifford,Barberio,Clifford.Barberio@Training.com,,Human Resources,active,,,,82,",1,,32,,82,",4,0
150,151,Eugene,Cilek,Eugene.Cilek@Training.com,,Marketing,active,,,,83,",1,,2,,33,,83,",5,5
151,152,Kay,Smith,Kay.Smith@Training.com,,Sales,active,,,,84,",1,,3,,34,,84,",5,4
152,153,Jeffrey,Benninger,Jeffrey.Benninger@Training.com,,Engineering,active,,,,86,",1,,5,,36,,86,",5,6
153,154,Henry,Smith,Henry.Smith@Training.com,,IT,active,,,,89,",1,,9,,40,,89,",5,4
154,155,Gloria,Hale,Gloria.Hale@Training.com,,Accounting,active,,,,93,",1,,17,,47,,93,",5,4
155,156,Earl,Rolle,Earl.Rolle@Training.com,,Engineering,active,,,,5,",1,,5,",3,0
156,157,Agnes,Funk,Agnes.Funk@Training.com,,Marketing,active,,,,6,",1,,2,,6,",4,0
157,158,Tamara,Johnson,Tamara.Johnson@Training.com,,Sales,active,,,,7,",1,,3,,7,",4,0
158,159,Stephen,Castleman,Stephen.Castleman@Training.com,,Sales,active,,,,11,",1,,3,,11,",4,0
159,160,Alpha,Mandeville,Alpha.Mandeville@Training.com,,Engineering,active,,,,13,",1,,5,,13,",4,0
160,161,Mary,Burnham,Mary.Burnham@Training.com,,Sales,active,,,,15,",1,,3,,7,,15,",5,4
161,162,James,Russo,James.Russo@Training.com,,Accounting,active,,,,17,",1,,17,",3,0
162,163,Eddie,Pemberton,Eddie.Pemberton@Training.com,,Marketing,active,,,,18,",1,,2,,18,",4,0
163,164,Ronald,Robinson,Ronald.Robinson@Training.com,,Sales,active,,,,19,",1,,3,,19,",4,0
164,165,Mary,Speer,Mary.Speer@Training.com,,Marketing,active,,,,20,",1,,2,,4,,20,",5,4
165,166,Joyce,Price,Joyce.Price@Training.com,,Engineering,active,,,,21,",1,,5,,21,",4,0
166,167,Bryan,Robertson,Bryan.Robertson@Training.com,,Marketing,active,,,,22,",1,,2,,6,,22,",5,5
167,168,Darron,Presswood,Darron.Presswood@Training.com,,Sales,active,,,,23,",1,,3,,7,,23,",5,5
168,169,Wayne,Siciliano,Wayne.Siciliano@Training.com,,IT,active,,,,25,",1,,9,,25,",4,0
169,170,Frank,Larsen,Frank.Larsen@Training.com,,Marketing,active,,,,26,",1,,2,,10,,26,",5,5
170,171,Edward,Hoover,Edward.Hoover@Training.com,,Sales,active,,,,27,",1,,3,,11,,27,",5,6
171,172,Richard,Michael,Richard.Michael@Training.com,,Engineering,active,,,,29,",1,,5,,13,,29,",5,6
172,173,Donald,Richardson,Donald.Richardson@Training.com,,Human Resources,active,,,,32,",1,,32,",3,0
173,174,Samantha,Lunt,Samantha.Lunt@Training.com,,Marketing,active,,,,33,",1,,2,,33,",4,0
174,175,Irvin,Jenkins,Irvin.Jenkins@Training.com,,Sales,active,,,,34,",1,,3,,34,",4,0
175,176,Peter,Nails,Peter.Nails@Training.com,,Marketing,active,,,,35,",1,,2,,4,,35,",5,5
176,177,Terence,Chapman,Terence.Chapman@Training.com,,Engineering,active,,,,36,",1,,5,,36,",4,0
177,178,Estella,Partee,Estella.Partee@Training.com,,Marketing,active,,,,37,",1,,2,,6,,37,",5,6
178,179,Michael,Schroth,Michael.Schroth@Training.com,,Sales,active,,,,38,",1,,3,,7,,38,",5,4
179,180,Jaqueline,Vonholt,Jaqueline.Vonholt@Training.com,,IT,active,,,,40,",1,,9,,40,",4,0
180,181,Robert,Lee,Robert.Lee@Training.com,,Marketing,active,,,,41,",1,,2,,10,,41,",5,6
181,182,Louise,Arana,Louise.Arana@Training.com,,Sales,active,,,,42,",1,,3,,11,,42,",5,4
182,183,Louise,Mohseni,Louise.Mohseni@Training.com,,Engineering,active,,,,44,",1,,5,,13,,44,",5,6
183,184,Joel,Snyder,Joel.Snyder@Training.com,,Accounting,active,,,,47,",1,,17,,47,",4,0
184,185,Connie,Peterson,Connie.Peterson@Training.com,,Marketing,active,,,,48,",1,,2,,18,,48,",5,4
185,186,Mattie,Gomez,Mattie.Gomez@Training.com,,Sales,active,,,,49,",1,,3,,19,,49,",5,5
186,187,Tamara,Kassin,Tamara.Kassin@Training.com,,Engineering,active,,,,51,",1,,5,,21,,51,",5,5
187,188,Evelyn,Dodd,Evelyn.Dodd@Training.com,,IT,active,,,,54,",1,,9,,25,,54,",5,5
188,189,Charlie,Linder,Charlie.Linder@Training.com,,Production,active,,,,58,",1,,58,",3,0
189,190,Chris,Eld,Chris.Eld@Training.com,,Sales,active,,,,59,",1,,3,,59,",4,0
190,191,Ralph,Smith,Ralph.Smith@Training.com,,Engineering,active,,,,60,",1,,5,,60,",4,0
191,192,Helen,Kelley,Helen.Kelley@Training.com,,Marketing,active,,,,61,",1,,2,,6,,61,",5,5
192,193,Bernard,Chase,Bernard.Chase@Training.com,,Sales,active,,,,62,",1,,3,,7,,62,",5,4
193,194,Danica,White,Danica.White@Training.com,,IT,active,,,,64,",1,,9,,64,",4,0
194,195,Ann,Alfano,Ann.Alfano@Training.com,,Marketing,active,,,,65,",1,,2,,10,,65,",5,6
195,196,Willie,Ivey,Willie.Ivey@Training.com,,Sales,active,,,,66,",1,,3,,11,,66,",5,5
196,197,Robert,Ragland,Robert.Ragland@Training.com,,Engineering,active,,,,68,",1,,5,,13,,68,",5,5
197,198,Jose,Barrett,Jose.Barrett@Training.com,,Accounting,active,,,,71,",1,,17,,71,",4,0
198,199,Richard,Kraus,Richard.Kraus@Training.com,,Marketing,active,,,,72,",1,,2,,18,,72,",5,5
199,200,James,James,James.James@Training.com,,Sales,active,,,,73,",1,,3,,19,,73,",5,6
200,201,Terry,Eccles,Terry.Eccles@Training.com,,Engineering,active,,,,75,",1,,5,,21,,75,",5,6
201,202,Emma,Moroni,Emma.Moroni@Training.com,,IT,active,,,,78,",1,,9,,25,,78,",5,4
202,203,Frances,Mcglone,Frances.Mcglone@Training.com,,Human Resources,active,,,,82,",1,,32,,82,",4,0
203,204,Edwin,Graham,Edwin.Graham@Training.com,,Marketing,active,,,,83,",1,,2,,33,,83,",5,6
204,205,Frank,Barnes,Frank.Barnes@Training.com,,Sales,active,,,,84,",1,,3,,34,,84,",5,5
205,206,Gabriel,Hassler,Gabriel.Hassler@Training.com,,Engineering,active,,,,86,",1,,5,,36,,86,",5,5
206,207,Bonnie,Williams,Bonnie.Williams@Training.com,,IT,active,,,,89,",1,,9,,40,,89,",5,5
207,208,Larry,Christmas,Larry.Christmas@Training.com,,Accounting,active,,,,93,",1,,17,,47,,93,",5,5
208,209,Leslie,Baggett,Leslie.Baggett@Training.com,,Engineering,active,,,,98,",1,,5,,98,",4,0
209,210,David,Flowers,David.Flowers@Training.com,,Marketing,active,,,,99,",1,,2,,6,,99,",5,4
210,211,Beth,Hawkins,Beth.Hawkins@Training.com,,Sales,active,,,,100,",1,,3,,7,,100,",5,6
211,212,Nikia,Turnbull,Nikia.Turnbull@Training.com,,IT,active,,,,102,",1,,9,,102,",4,0
212,213,Jessica,Muniz,Jessica.Muniz@Training.com,,Marketing,active,,,,103,",1,,2,,10,,103,",5,4
213,214,Bruce,Silas,Bruce.Silas@Training.com,,Sales,active,,,,104,",1,,3,,11,,104,",5,6
214,215,Norman,Page,Norman.Page@Training.com,,Engineering,active,,,,106,",1,,5,,13,,106,",5,6
215,216,Kenneth,Rasmussen,Kenneth.Rasmussen@Training.com,,Accounting,active,,,,109,",1,,17,,109,",4,0
216,217,Charlotte,Marini,Charlotte.Marini@Training.com,,Marketing,active,,,,110,",1,,2,,18,,110,",5,6
217,218,Verna,Nugent,Verna.Nugent@Training.com,,Sales,active,,,,111,",1,,3,,19,,111,",5,4
218,219,Julia,Williams,Julia.Williams@Training.com,,Engineering,active,,,,113,",1,,5,,21,,113,",5,6
219,220,Mariana,Mckinney,Mariana.Mckinney@Training.com,,IT,active,,,,116,",1,,9,,25,,116,",5,4
220,221,Roberta,Garneau,Roberta.Garneau@Training.com,,Human Resources,active,,,,120,",1,,32,,120,",4,0
221,222,Zachary,Porter,Zachary.Porter@Training.com,,Marketing,active,,,,121,",1,,2,,33,,121,",5,4
222,223,Donna,White,Donna.White@Training.com,,Sales,active,,,,122,",1,,3,,34,,122,",5,6
223,224,Cecil,White,Cecil.White@Training.com,,Engineering,active,,,,124,",1,,5,,36,,124,",5,6
224,225,Eileen,Raney,Eileen.Raney@Training.com,,IT,active,,,,127,",1,,9,,40,,127,",5,4
225,226,Barbara,Paine,Barbara.Paine@Training.com,,Accounting,active,,,,131,",1,,17,,47,,131,",5,4
226,227,Annie,Slivka,Annie.Slivka@Training.com,,Production,active,,,,136,",1,,58,,136,",4,0
227,228,Martha,Rosenfield,Martha.Rosenfield@Training.com,,Sales,active,,,,137,",1,,3,,59,,137,",5,4
228,229,Aurora,Ortiz,Aurora.Ortiz@Training.com,,Engineering,active,,,,138,",1,,5,,60,,138,",5,6
229,230,Lorraine,Leggio,Lorraine.Leggio@Training.com,,IT,active,,,,141,",1,,9,,64,,141,",5,6
230,231,Manuel,Garcia,Manuel.Garcia@Training.com,,Accounting,active,,,,145,",1,,17,,71,,145,",5,4
231,232,Terry,Garcia,Terry.Garcia@Training.com,,Human Resources,active,,,,150,",1,,32,,82,,150,",5,4
232,233,Maurice,Nolen,Maurice.Nolen@Training.com,,Sales,active,,,,11,",1,,3,,11,",4,0
233,234,Maribel,Marble,Maribel.Marble@Training.com,,Engineering,active,,,,13,",1,,5,,13,",4,0
234,235,Michael,Donaldson,Michael.Donaldson@Training.com,,Marketing,active,,,,18,",1,,2,,18,",4,0
235,236,Elizabeth,Garis,Elizabeth.Garis@Training.com,,Sales,active,,,,19,",1,,3,,19,",4,0
236,237,Matthew,Kupchinsky,Matthew.Kupchinsky@Training.com,,Marketing,active,,,,20,",1,,2,,4,,20,",5,5
237,238,Herman,Douglas,Herman.Douglas@Training.com,,Engineering,inactive,,,,21,",1,,5,,21,",4,0
238,239,Preston,Solomon,Preston.Solomon@Training.com,,Marketing,active,,,,22,",1,,2,,6,,22,",5,6
239,240,Ruth,Vargas,Ruth.Vargas@Training.com,,Sales,active,,,,23,",1,,3,,7,,23,",5,6
240,241,Sherri,Prue,Sherri.Prue@Training.com,,Engineering,active,,,,29,",1,,5,,13,,29,",5,6
241,242,Lola,Schreckengost,Lola.Schreckengost@Training.com,,Human Resources,active,,,,32,",1,,32,",3,0
242,243,Ashley,Harris,Ashley.Harris@Training.com,,Marketing,active,,,,33,",1,,2,,33,",4,0
243,244,Richard,Klipfel,Richard.Klipfel@Training.com,,Sales,active,,,,34,",1,,3,,34,",4,0
244,245,Derek,Jefcoat,Derek.Jefcoat@Training.com,,Marketing,active,,,,35,",1,,2,,4,,35,",5,6
245,246,Shirley,Allen,Shirley.Allen@Training.com,,Engineering,active,,,,36,",1,,5,,36,",4,0
246,247,Gerald,Park,Gerald.Park@Training.com,,Marketing,active,,,,37,",1,,2,,6,,37,",5,4
247,248,Charlie,Emrick,Charlie.Emrick@Training.com,,Sales,active,,,,38,",1,,3,,7,,38,",5,4
248,249,Robert,Taylor,Robert.Taylor@Training.com,,IT,active,,,,40,",1,,9,,40,",4,0
249,250,Lana,Cole,Lana.Cole@Training.com,,Marketing,active,,,,41,",1,,2,,10,,41,",5,6
